City,County,Location.State,Location.Country,Data.Shape,Data.Encounter.duration,Data.Description.excerpt,Location.Coordinates.Latitude,Location.Coordinates.Longitude,Dates.Sighted.Year,Dates.Sighted.Month,Date.Sighted.Day,Dates.Sighted.Hour,Dates.Sighted.Minute,Dates.Documented.Year,Dates.Documented.Month,Dates.Documented.Day,lat,lon,sighted_date,year,Avg_Precip_Month_County,Avg_Temp_Month_County,sighting_type,population,data_source
PLEASANTON,ALAMEDA,CA,US,disk,180,Large saucer shaped object&#44 with many windows&#44 which was flying slow and low to the ground  was seen tonight.,37.6625,-121.8736111,2007,11,1,20,40,2007,11,28,37.6625,-121.8736111,2007-11-01,2007,9.09,60,UFO,1682353,2020 Decennial Census
SAN RAFAEL,MARIN,CA,US,changing,480,Strange blinking&#44 saucer-like object spotted in SanRafael&#44CA; apprx. 7:30 PM Standard time,37.9736111,-122.53,2007,11,1,19,30,2007,11,28,37.9736111,-122.53,2007-11-01,2007,16.14,56.4,UFO,262321,2020 Decennial Census
DISCOVERY BAY,NA,CA,US,other,1800,Object which looked like a lighted jellyfish pulsating around a star below and to the right of Cassiopea.,37.9086111,-121.5991667,2007,11,2,20,15,2007,11,28,37.9086111,-121.5991667,2007-11-02,2007,NA,NA,UFO,NA,NA
DISCOVERY BAY,NA,CA,US,other,1800,Pulsating lights in a bell shape seen through binoculars near at star below Cassiopea.  ((NUFORC Note:  Possibly Sirius.  PD)),37.9086111,-121.5991667,2007,11,2,20,15,2007,11,28,37.9086111,-121.5991667,2007-11-02,2007,NA,NA,UFO,NA,NA
INDIO,RIVERSIDE,CA,US,fireball,300,Comet-like fireball with Red &amp; Green lights seen in Coachella Valley&#44 CA,33.7205556,-116.2147222,2007,11,2,19,20,2007,11,28,33.7205556,-116.2147222,2007-11-02,2007,3.24,70.6,UFO,2418185,2020 Decennial Census
ROCKLIN,PLACER,CA,US,light,120,Strange light in Rocklin CA,38.7908333,-121.2347222,2007,11,2,20,46,2007,11,28,38.7908333,-121.2347222,2007-11-02,2007,24.8,55.6,UFO,404739,2020 Decennial Census
CORONA,RIVERSIDE,CA,US,other,120,bright ring shaped ufo over corona california,33.8752778,-117.5655556,2007,11,3,19,30,2007,11,28,33.8752778,-117.5655556,2007-11-03,2007,3.24,70.6,UFO,2418185,2020 Decennial Census
SAN FRANCISCO,SAN FRANCISCO,CA,US,other,1200,Bright Boomerang Object in the Sky in San Francisco on November 3th  500 Lights On Object0: Yes,37.775,-122.4183333,2007,11,3,5,50,2007,11,28,37.775,-122.4183333,2007-11-03,2007,12.21,57.4,UFO,873965,2020 Decennial Census
CORONA DEL MAR,NA,CA,US,circle,480,Circular shaped bright lighted object flying over Corona del Mar&#44 CA,33.5980556,-117.8722222,2007,11,4,20,45,2007,11,28,33.5980556,-117.8722222,2007-11-04,2007,NA,NA,UFO,NA,NA
CORONA DEL MAR,NA,CA,US,oval,480,Oval shaped disc maneuvering over Corona del Mar&#44 CA,33.5980556,-117.8722222,2007,11,4,20,45,2007,11,28,33.5980556,-117.8722222,2007-11-04,2007,NA,NA,UFO,NA,NA
FULLERTON,ORANGE,CA,US,fireball,600,I and friends observed a slow moving object which dropped other objects before disappearing from view.,33.8702778,-117.9244444,2007,11,4,21,55,2007,11,28,33.8702778,-117.9244444,2007-11-04,2007,4.12,65.2,UFO,3186989,2020 Decennial Census
QUINCY,PLUMAS,CA,US,light,360,Circular light appeared instantly in the South&#44 going East for 6 minutes,39.9369444,-120.9461111,2007,11,4,5,23,2007,11,28,39.9369444,-120.9461111,2007-11-04,2007,21.47,49.5,UFO,19790,2020 Decennial Census
BISHOP,INYO,CA,US,other,180,I saw two lights movingin tandum from west to east. ((NUFORC Note:  ISS and Space Shuttle.  PD)),37.3636111,-118.3941667,2007,11,5,6,8,2007,11,28,37.3636111,-118.3941667,2007-11-05,2007,2.06,64.1,UFO,19016,2020 Decennial Census
LINCOLN,PLACER,CA,US,sphere,300,2 sphere type yellow objs SE to NW with no streaks or flashing lights and fast moving in one dir..  ((NUFORC Note:  ISS &amp; Shuttle?  PD),38.8916667,-121.2919444,2007,11,5,6,0,2007,11,28,38.8916667,-121.2919444,2007-11-05,2007,24.8,55.6,UFO,404739,2020 Decennial Census
MADERA,MADERA,CA,US,light,180,Two lights in the sky&#44one seemed to follow the other as if in formation.  ((NUFORC Note:  Possibly the ISS and Space Shuttle??  PD)),36.9613889,-120.0597222,2007,11,5,5,55,2007,11,28,36.9613889,-120.0597222,2007-11-05,2007,8.33,58.2,UFO,156255,2020 Decennial Census
TARZANA,LOS ANGELES,CA,US,flash,15,light over san fernando valley,34.1733333,-118.5530556,2007,11,6,20,30,2007,11,28,34.1733333,-118.5530556,2007-11-06,2007,4.52,63.6,UFO,10014009,2020 Decennial Census
MORGAN HILL,SANTA CLARA,CA,US,fireball,120,mysterious fire-streak across the mountains near Morgan Hill&#44 CA.  ((NUFORC Note:  We suspect a contrail may have been the cause.  PD)),37.1305556,-121.6533333,2007,11,7,17,30,2007,11,28,37.1305556,-121.6533333,2007-11-07,2007,10.56,59.1,UFO,1936259,2020 Decennial Census
RANCHO SANTA MARGARITA,ORANGE,CA,US,circle,60,Over Rancho Santa Margarita veiwed a circular object with moving blue lights way up in the sky./,33.6408333,-117.6022222,2007,11,7,18,15,2007,11,28,33.6408333,-117.6022222,2007-11-07,2007,4.12,65.2,UFO,3186989,2020 Decennial Census
RANCHO SANTA MARGARITA,ORANGE,CA,US,circle,60,Over Rancho Santa Margarita veiwed a circular object with moving blue lights way up in the sky./,33.6408333,-117.6022222,2007,11,7,18,15,2007,11,28,33.6408333,-117.6022222,2007-11-07,2007,4.12,65.2,UFO,3186989,2020 Decennial Census
RANCHO SANTA MARGARITA,ORANGE,CA,US,circle,60,Over Rancho Santa Margarita veiwed a circular object with moving blue lights way up in the sky./,33.6408333,-117.6022222,2007,11,7,18,15,2007,11,28,33.6408333,-117.6022222,2007-11-07,2007,4.12,65.2,UFO,3186989,2020 Decennial Census
SAN JOSE,SANTA CLARA,CA,US,disk,60,Two Disks or Saucers seen gliding side by side before doing some acrobatic maneuvers.,37.3394444,-121.8938889,2007,11,7,17,20,2007,11,28,37.3394444,-121.8938889,2007-11-07,2007,10.56,59.1,UFO,1936259,2020 Decennial Census
LOS ANGELES,LOS ANGELES,CA,US,formation,90,Flashing red lights in formation,34.0522222,-118.2427778,2007,11,9,22,30,2007,11,28,34.0522222,-118.2427778,2007-11-09,2007,4.52,63.6,UFO,10014009,2020 Decennial Census
REDDING,SHASTA,CA,US,unknown,240,Burning object in Night Sky over Redding&#44 CA 11/09/2007.,40.5866667,-122.3905556,2007,11,9,22,45,2007,11,28,40.5866667,-122.3905556,2007-11-09,2007,21.35,56.9,UFO,182155,2020 Decennial Census
REDONDO BEACH,LOS ANGELES,CA,US,formation,120,About a dozen red flashing lights passing quietly in the night.,33.8491667,-118.3875,2007,11,9,22,0,2007,11,28,33.8491667,-118.3875,2007-11-09,2007,4.52,63.6,UFO,10014009,2020 Decennial Census
GALT,SACRAMENTO,CA,US,fireball,5,I saw a big ball of light fall straight down&#44 hang for a moment then zip straight back up the way it came.,38.2547222,-121.2988889,2007,11,10,0,30,2008,10,31,38.2547222,-121.2988889,2007-11-10,2007,9.66,63.5,UFO,1585055,2020 Decennial Census
PASADENA,LOS ANGELES,CA,US,other,350,Moving planes&#44 or stars -- STOP and just hang there&#44 for over 20 minutes,34.1477778,-118.1436111,2007,11,10,5,30,2007,11,28,34.1477778,-118.1436111,2007-11-10,2007,4.52,63.6,UFO,10014009,2020 Decennial Census
SAN DIEGO,SAN DIEGO,CA,US,circle,240,A very orange object stood still in the sky. Through a telescope&#44 the object had a ring around it. Came over the area twice within one,32.7152778,-117.1563889,2007,11,10,20,45,2007,11,28,32.7152778,-117.1563889,2007-11-10,2007,5.28,64.4,UFO,3298634,2020 Decennial Census
DUBLIN,ALAMEDA,CA,US,light,2,This is the second time I saw this light flash across the Eastern sky then disappear.  I live in the West Dublin hills with a full view,37.7022222,-121.9347222,2007,11,11,19,0,2007,11,28,37.7022222,-121.9347222,2007-11-11,2007,9.09,60,UFO,1682353,2020 Decennial Census
LOMPOC,SANTA BARBARA,CA,US,cylinder,300,I saw what I thought was another missile launch from VAFB but it turned out to be something strange.,34.6391667,-120.4569444,2007,11,11,20,15,2007,11,28,34.6391667,-120.4569444,2007-11-11,2007,5.82,59.2,UFO,448229,2020 Decennial Census
ELK GROVE,SACRAMENTO,CA,US,other,180,Arrowhead large silent slow craft with 3 circular rows of Yellow Rectangular lights on top/dark on bottom.,38.4088889,-121.3705556,2007,11,12,22,30,2007,11,28,38.4088889,-121.3705556,2007-11-12,2007,9.66,63.5,UFO,1585055,2020 Decennial Census
FULLERTON,ORANGE,CA,US,cone,240,Orange light bulb shape&#44 very bright on the bottom&#44 top looked like orange light coming through glass?&#44 came from the east&#44 stopped for,33.8702778,-117.9244444,2007,11,12,20,45,2007,11,28,33.8702778,-117.9244444,2007-11-12,2007,4.12,65.2,UFO,3186989,2020 Decennial Census
IRVINE,ORANGE,CA,US,circle,300,Circular UFO with Blue lights seen near 405 S at Bake Pkwy exit.,33.6694444,-117.8222222,2007,11,12,19,0,2007,11,28,33.6694444,-117.8222222,2007-11-12,2007,4.12,65.2,UFO,3186989,2020 Decennial Census
MONTEBELLO,LOS ANGELES,CA,US,sphere,300,Sphere shape&#44 red&#44 blue and white lights&#44 over Montebello headed north west toward ELA / Monterey Park,34.0094444,-118.1044444,2007,11,12,22,45,2007,11,28,34.0094444,-118.1044444,2007-11-12,2007,4.52,63.6,UFO,10014009,2020 Decennial Census
PALM SPRINGS,RIVERSIDE,CA,US,other,10,Moving star over Palm Springs&#44 California&#44 approximately 2300&#44 November 11&#442007,33.8302778,-116.5444444,2007,11,12,23,0,2007,11,28,33.8302778,-116.5444444,2007-11-12,2007,3.24,70.6,UFO,2418185,2020 Decennial Census
PALM SPRINGS,RIVERSIDE,CA,US,other,10,Moving star over Palm Springs&#44 California&#44 approximately 2300&#44 November 11&#442007,33.8302778,-116.5444444,2007,11,12,23,0,2007,11,28,33.8302778,-116.5444444,2007-11-12,2007,3.24,70.6,UFO,2418185,2020 Decennial Census
SAN DIEGO,SAN DIEGO,CA,US,disk,1200,UFO SIGHTING IN SAN DIEGO &#44THIS IS REAL,32.7152778,-117.1563889,2007,11,12,21,0,2007,11,28,32.7152778,-117.1563889,2007-11-12,2007,5.28,64.4,UFO,3298634,2020 Decennial Census
CATHEDRAL CITY,RIVERSIDE,CA,US,unknown,60,11-13-07 object over Palm Springs California leaves billowing white trail but makes no sound.,33.7797222,-116.4644444,2007,11,13,7,15,2007,11,28,33.7797222,-116.4644444,2007-11-13,2007,3.24,70.6,UFO,2418185,2020 Decennial Census
LOS ANGELES,LOS ANGELES,CA,US,unknown,10,red lights over Los Angeles at 10:20 pm on 11/13/07,34.0522222,-118.2427778,2007,11,13,22,22,2007,11,28,34.0522222,-118.2427778,2007-11-13,2007,4.52,63.6,UFO,10014009,2020 Decennial Census
SAN DIEGO,SAN DIEGO,CA,US,other,30,I saw four bright blue lights that hovered and zig zagged.,32.7152778,-117.1563889,2007,11,13,18,0,2007,11,28,32.7152778,-117.1563889,2007-11-13,2007,5.28,64.4,UFO,3298634,2020 Decennial Census
SAN DIEGO,SAN DIEGO,CA,US,triangle,900,LOW FLYING/HUGE TRIANGULAR CRAFT/LARGER THAN A STEALTH&#33,32.7152778,-117.1563889,2007,11,13,18,50,2008,6,12,32.7152778,-117.1563889,2007-11-13,2007,5.28,64.4,UFO,3298634,2020 Decennial Census
SAN DIEGO,SAN DIEGO,CA,US,triangle,600,Huge Delta-shaped craft over San Diego sky,32.7152778,-117.1563889,2007,11,13,19,10,2007,11,28,32.7152778,-117.1563889,2007-11-13,2007,5.28,64.4,UFO,3298634,2020 Decennial Census
SAN MARCOS,SAN DIEGO,CA,US,formation,900,we are seeing a 5 light formation in a cross pattern for many minutes with little red lights erratically flying around the right side,33.1433333,-117.1652778,2007,11,13,20,30,2007,11,28,33.1433333,-117.1652778,2007-11-13,2007,5.28,64.4,UFO,3298634,2020 Decennial Census
LA CRESCENTA,LOS ANGELES,CA,US,circle,3000,Three circular objects moving at good pace in SW direction.  ((NUFORC Note:  Stars or satellites??  PD)),34.2241667,-118.2391667,2007,11,14,22,30,2007,11,28,34.2241667,-118.2391667,2007-11-14,2007,4.52,63.6,UFO,10014009,2020 Decennial Census
MONTEREY,MONTEREY,CA,US,triangle,10,Triangular craft&#44 three distinct white lights on each corner&#44 high altitude&#44 moved silently and swiftly and like a swaying glider.,36.6002778,-121.8936111,2007,11,14,20,30,2007,11,28,36.6002778,-121.8936111,2007-11-14,2007,7.71,59.2,UFO,439035,2020 Decennial Census
SAN DIEGO,SAN DIEGO,CA,US,changing,900,Craft exhibiting a bay of red lights flew in from over the Pacific&#44 hovered for several minutes&#44 then flew off into spa,32.7152778,-117.1563889,2007,11,14,20,17,2007,11,28,32.7152778,-117.1563889,2007-11-14,2007,5.28,64.4,UFO,3298634,2020 Decennial Census
SAN DIEGO,SAN DIEGO,CA,US,circle,600,Bright orange ascending then hovering light with smaller red flashing lights in center,32.7152778,-117.1563889,2007,11,14,17,34,2007,11,28,32.7152778,-117.1563889,2007-11-14,2007,5.28,64.4,UFO,3298634,2020 Decennial Census
SACRAMENTO,SACRAMENTO,CA,US,cigar,10800,blue streaks of light flashing all over the sky,38.5816667,-121.4933333,2007,11,15,19,0,2007,11,28,38.5816667,-121.4933333,2007-11-15,2007,9.66,63.5,UFO,1585055,2020 Decennial Census
PALM SPRINGS,RIVERSIDE,CA,US,triangle,300,Three Identical Craft Sighted Over Palm Spings&#44 California  Slowly Come Together...And Vanish.,33.8302778,-116.5444444,2007,11,18,16,30,2007,11,28,33.8302778,-116.5444444,2007-11-18,2007,3.24,70.6,UFO,2418185,2020 Decennial Census
PALM SPRINGS,RIVERSIDE,CA,US,triangle,300,Three Identical Craft Sighted Over Palm Spings&#44 California  Slowly Come Together...And Vanish.,33.8302778,-116.5444444,2007,11,18,16,30,2007,11,28,33.8302778,-116.5444444,2007-11-18,2007,3.24,70.6,UFO,2418185,2020 Decennial Census
COTO DE CAZA,NA,CA,US,other,15,Beautiful bright blue-white round light flying low across daylit sky:  November 19&#44 2007 Orange County&#44 Ca,33.6041667,-117.5861111,2007,11,19,15,30,2007,11,28,33.6041667,-117.5861111,2007-11-19,2007,NA,NA,UFO,NA,NA
MODESTO,STANISLAUS,CA,US,other,300,Black helicopter with very bright pulsating light.,37.6391667,-120.9958333,2007,11,19,17,30,2007,11,28,37.6391667,-120.9958333,2007-11-19,2007,6.18,63,UFO,552878,2020 Decennial Census
CARMICHAEL,SACRAMENTO,CA,US,flash,7200,Light&#44 2 hours; bright light at a far distance&#44 flashing green&#44 red&#44 blue &amp; white.  ((NUFORC Note:  Sirius.  PD)),38.6172222,-121.3272222,2007,11,21,5,0,2007,11,28,38.6172222,-121.3272222,2007-11-21,2007,9.66,63.5,UFO,1585055,2020 Decennial Census
SAN DIEGO,SAN DIEGO,CA,US,circle,600,Brilliant Gold Object Appears Over Ocean Beach,32.7152778,-117.1563889,2007,11,21,20,15,2007,11,28,32.7152778,-117.1563889,2007-11-21,2007,5.28,64.4,UFO,3298634,2020 Decennial Census
CORONA,RIVERSIDE,CA,US,light,300,A light floating&#44 moving&#44 and hovering in the air.,33.8752778,-117.5655556,2007,11,23,22,37,2007,11,28,33.8752778,-117.5655556,2007-11-23,2007,3.24,70.6,UFO,2418185,2020 Decennial Census
SAN DIEGO,SAN DIEGO,CA,US,formation,300,Three Light Formation in Point Loma,32.7152778,-117.1563889,2007,11,23,19,0,2009,12,12,32.7152778,-117.1563889,2007-11-23,2007,5.28,64.4,UFO,3298634,2020 Decennial Census
SAN DIEGO,SAN DIEGO,CA,US,formation,120,Three lights changing formation,32.7152778,-117.1563889,2007,11,23,19,45,2007,11,28,32.7152778,-117.1563889,2007-11-23,2007,5.28,64.4,UFO,3298634,2020 Decennial Census
MISSION HILLS,SANTA BARBARA,CA,US,cigar,600,Ufo over the san fernando valley,34.2572222,-118.4661111,2007,11,24,7,0,2007,11,28,34.2572222,-118.4661111,2007-11-24,2007,5.82,59.2,UFO,448229,2020 Decennial Census
MOUNTAIN HOUSE,SAN JOAQUIN,CA,US,circle,60,Red Ball of Fire,37.7833333,-121.5416667,2007,11,24,5,22,2007,11,28,37.7833333,-121.5416667,2007-11-24,2007,6.67,63.5,UFO,779233,2020 Decennial Census
SAN DIEGO,SAN DIEGO,CA,US,light,120,2 bright reddish orange lights&#44 moving up and away into the atmosphere,32.7152778,-117.1563889,2007,11,24,20,45,2007,11,28,32.7152778,-117.1563889,2007-11-24,2007,5.28,64.4,UFO,3298634,2020 Decennial Census
BUENA PARK,ORANGE,CA,US,fireball,600,Brigh orange light seen in the sky over Orange County California.,33.8675,-117.9972222,2007,11,26,20,50,2007,11,28,33.8675,-117.9972222,2007-11-26,2007,4.12,65.2,UFO,3186989,2020 Decennial Census
CHINO,SAN BERNARDINO,CA,US,light,1200,Dancing Lights in the Sky,34.0122222,-117.6880556,2007,11,26,4,30,2008,3,4,34.0122222,-117.6880556,2007-11-26,2007,2.54,69.4,UFO,2181654,2020 Decennial Census
MURRIETA,RIVERSIDE,CA,US,cigar,4,IT WAS FASTER THEN ANYTHING I HAVE EVER SEEN AND AS BRIGHT AS A FULL MOON,33.5538889,-117.2130556,2007,12,1,22,0,2008,3,4,33.5538889,-117.2130556,2007-12-01,2007,4.73,68.8,UFO,2418185,2020 Decennial Census
PARADISE,BUTTE,CA,US,sphere,120,circle of light at low altitude&#44 low speed shot out reddish flourescent tube of light,39.7597222,-121.6208333,2007,12,1,4,5,2008,10,31,39.7597222,-121.6208333,2007-12-01,2007,28.11,59.9,UFO,211632,2020 Decennial Census
PICO RIVERA,LOS ANGELES,CA,US,disk,15,This object just smoothly coasted without a sound.,33.9830556,-118.0958333,2007,12,1,15,15,2008,3,4,33.9830556,-118.0958333,2007-12-01,2007,6.18,62.3,UFO,10014009,2020 Decennial Census
LOS ANGELES,LOS ANGELES,CA,US,other,300,Massive Object Seen Over 110 North Freeway In Los Angeles&#44 12/2/07,34.0522222,-118.2427778,2007,12,2,16,45,2008,3,4,34.0522222,-118.2427778,2007-12-02,2007,6.18,62.3,UFO,10014009,2020 Decennial Census
OCEANSIDE,SAN DIEGO,CA,US,circle,1200,Glowing Orange Ball In Sky&#44 Maneuvering Capabilities&#44 Have Photos witnessed by 4 people,33.1958333,-117.3786111,2007,12,3,20,50,2008,3,4,33.1958333,-117.3786111,2007-12-03,2007,7.43,63.1,UFO,3298634,2020 Decennial Census
BURBANK,LOS ANGELES,CA,US,light,5,Firey blue light speeds toward the ground behind the mountains.,34.1808333,-118.3080556,2007,12,4,1,0,2008,3,4,34.1808333,-118.3080556,2007-12-04,2007,6.18,62.3,UFO,10014009,2020 Decennial Census
HEMET,RIVERSIDE,CA,US,triangle,60,Three lights in shape of triangle in Southern California.,33.7475,-116.9711111,2007,12,4,21,30,2008,3,4,33.7475,-116.9711111,2007-12-04,2007,4.73,68.8,UFO,2418185,2020 Decennial Census
ALAMO,CONTRA COSTA,CA,US,formation,600,UFOs hovered in low-lying clouds near my apartment this December&#33 this sounds crazy&#44 but I SAW THEM&#33&#33&#33,37.8502778,-122.0311111,2007,12,8,5,45,2008,3,4,37.8502778,-122.0311111,2007-12-08,2007,11.26,59.9,UFO,1165927,2020 Decennial Census
SAN FRANCISCO,SAN FRANCISCO,CA,US,light,60,Steady light&#44 stopping&#44 and changing direction in the sky.,37.775,-122.4183333,2007,12,8,22,30,2008,3,4,37.775,-122.4183333,2007-12-08,2007,16.1,56.7,UFO,873965,2020 Decennial Census
DINUBA,TULARE,CA,US,unknown,180,Lights over Central Valley California,36.5433333,-119.3861111,2007,12,9,18,0,2008,3,4,36.5433333,-119.3861111,2007-12-09,2007,12.6,54.8,UFO,473117,2020 Decennial Census
FAIR OAKS,SACRAMENTO,CA,US,rectangle,300,I saw really bright lights in the sky that was neither a plane or a helicopter.,38.6447222,-121.2711111,2007,12,10,17,30,2008,3,4,38.6447222,-121.2711111,2007-12-10,2007,12.52,62,UFO,1585055,2020 Decennial Census
PENN VALLEY,NEVADA,CA,US,teardrop,360,High up in the sky we saw one teardrop&#44 comet shaped object. The larger end closest to the ground&#44 we guessed it might be several hundr,39.1961111,-121.19,2007,12,10,16,40,2008,3,4,39.1961111,-121.19,2007-12-10,2007,34.96,52.6,UFO,102241,2020 Decennial Census
PLEASANTON,ALAMEDA,CA,US,rectangle,7200,UFO SIGHTINGS IN PLEASANTON&#44CA (12-10-2007)  ((NUFORC Note:  Celestial objects??  PD)),37.6625,-121.8736111,2007,12,10,20,0,2008,3,4,37.6625,-121.8736111,2007-12-10,2007,11.57,58.9,UFO,1682353,2020 Decennial Census
SAN JACINTO,RIVERSIDE,CA,US,other,5,Black pointed Shadow Object Turns out lights and turns electronics off in  truck.,33.7838889,-116.9577778,2007,12,10,20,45,2008,3,4,33.7838889,-116.9577778,2007-12-10,2007,4.73,68.8,UFO,2418185,2020 Decennial Census
CHICO,BUTTE,CA,US,fireball,15,I noticed a blue&#44 smoking fireball fall from the sky.  It had a smoke trail behind it.  It disapeared befor it hit the ground.,39.7286111,-121.8363889,2007,12,11,6,0,2008,3,4,39.7286111,-121.8363889,2007-12-11,2007,28.11,59.9,UFO,211632,2020 Decennial Census
SANTA ANA,ORANGE,CA,US,light,180,Birght light being followed by helicopter slowly.,33.7455556,-117.8669444,2007,12,11,18,30,2008,3,4,33.7455556,-117.8669444,2007-12-11,2007,5.43,64.3,UFO,3186989,2020 Decennial Census
LOS ANGELES,LOS ANGELES,CA,US,oval,180,BLIMP/UFO? in L.A.,34.0522222,-118.2427778,2007,12,12,15,0,2008,3,4,34.0522222,-118.2427778,2007-12-12,2007,6.18,62.3,UFO,10014009,2020 Decennial Census
LOS ANGELES,LOS ANGELES,CA,US,unknown,60,The brightest red flashing lights I&#39ve ever seen in a delta formation over L.A.,34.0522222,-118.2427778,2007,12,12,19,50,2008,3,4,34.0522222,-118.2427778,2007-12-12,2007,6.18,62.3,UFO,10014009,2020 Decennial Census
ORLAND,GLENN,CA,US,triangle,15,Silent&#44 Triangular shaped craft moving quickly with no lights or sound.,39.7475,-122.1952778,2007,12,13,21,20,2008,1,21,39.7475,-122.1952778,2007-12-13,2007,13.78,60.2,UFO,28917,2020 Decennial Census
SACRAMENTO,SACRAMENTO,CA,US,cigar,1200,Skunk smell for over 10 miles while very large craft  flew across the sky.,38.5816667,-121.4933333,2007,12,13,21,30,2008,3,4,38.5816667,-121.4933333,2007-12-13,2007,12.52,62,UFO,1585055,2020 Decennial Census
EL CERRITO,CONTRA COSTA,CA,US,disk,240,Rotating dics-like object with raised dome center over El Cerrito&#44 CA on 12/15/2007,37.9158333,-122.3105556,2007,12,15,18,15,2008,3,4,37.9158333,-122.3105556,2007-12-15,2007,11.26,59.9,UFO,1165927,2020 Decennial Census
LOS ANGELES,LOS ANGELES,CA,US,cylinder,10,12/15/07  22:07  Los Angeles&#44 Ca  Cylindrical  10 sec  Object  was completely silent heading S-W from the east.,34.0522222,-118.2427778,2007,12,15,22,7,2008,1,21,34.0522222,-118.2427778,2007-12-15,2007,6.18,62.3,UFO,10014009,2020 Decennial Census
SAN LUCAS,MONTEREY,CA,US,sphere,20,I have NEVER seen anything like this large&#44 bright&#44 hovering sphere that changed colors.,36.1288889,-121.0194444,2007,12,15,20,0,2008,6,12,36.1288889,-121.0194444,2007-12-15,2007,9.71,58.1,UFO,439035,2020 Decennial Census
IRVINE,ORANGE,CA,US,circle,1200,Ring of blue light flying in physics-defying pattern around Irvine Spectrum.,33.6694444,-117.8222222,2007,12,19,20,30,2008,3,4,33.6694444,-117.8222222,2007-12-19,2007,5.43,64.3,UFO,3186989,2020 Decennial Census
FRESNO,FRESNO,CA,US,disk,10,I don&#39t know what to do&#44I try to not think about it &#44 but now&#44I don&#39t know what to think about&#44 US.,36.7477778,-119.7713889,2007,12,20,6,52,2012,9,24,36.7477778,-119.7713889,2007-12-20,2007,10.33,55.9,UFO,1008654,2020 Decennial Census
EL CENTRO,IMPERIAL,CA,US,unknown,7,It was around nine thirty at night. I began to walk out of my car that I had parked in front of my house. As I began to walk the stretc,32.7919444,-115.5622222,2007,12,21,21,30,2008,1,21,32.7919444,-115.5622222,2007-12-21,2007,1.99,74.1,UFO,179702,2020 Decennial Census
SAN DIEGO,SAN DIEGO,CA,US,light,300,It was a clear night in San Diego and as I came up the back stairs I saw two large reddish orange lights&#44 very bright&#44 hovering in the,32.7152778,-117.1563889,2007,12,22,20,0,2008,3,4,32.7152778,-117.1563889,2007-12-22,2007,7.43,63.1,UFO,3298634,2020 Decennial Census
SAN DIEGO,SAN DIEGO,CA,US,light,300,Orange/yellow lights seen from Ocean Beach&#44 San Diego&#44 rising till no longer visible.,32.7152778,-117.1563889,2007,12,22,18,0,2008,1,21,32.7152778,-117.1563889,2007-12-22,2007,7.43,63.1,UFO,3298634,2020 Decennial Census
SAN DIEGO,SAN DIEGO,CA,US,light,180,We saw two lights that went across 40 plus degrees of sky&#44 while watching I got my telescope and tried to see them&#44 which the two lig,32.7152778,-117.1563889,2007,12,22,18,5,2008,3,4,32.7152778,-117.1563889,2007-12-22,2007,7.43,63.1,UFO,3298634,2020 Decennial Census
LOS ALAMOS,SANTA BARBARA,CA,US,unknown,180,Strange helicopter craft on 101 near Los Alamos,34.7444444,-120.2772222,2007,12,23,18,0,2008,1,21,34.7444444,-120.2772222,2007-12-23,2007,8.01,58.2,UFO,448229,2020 Decennial Census
LOS ANGELES,LOS ANGELES,CA,US,circle,180,Steady bright light over Los Angeles,34.0522222,-118.2427778,2007,12,23,16,0,2008,3,4,34.0522222,-118.2427778,2007-12-23,2007,6.18,62.3,UFO,10014009,2020 Decennial Census
LOS ANGELES,LOS ANGELES,CA,US,circle,900,I was taking picture of a bright round object in the southern sky I think it was venus when I looked at the pictures a green round bal,34.0522222,-118.2427778,2007,12,23,5,0,2008,3,4,34.0522222,-118.2427778,2007-12-23,2007,6.18,62.3,UFO,10014009,2020 Decennial Census
SAN MARINO,LOS ANGELES,CA,US,diamond,900,In daylight&#44 Slow moving object rotated above reflecting off sun for 15 minutes until I lost sight of it.,34.1213889,-118.1055556,2007,12,23,12,30,2008,1,21,34.1213889,-118.1055556,2007-12-23,2007,6.18,62.3,UFO,10014009,2020 Decennial Census
SAN MARTIN,SANTA CLARA,CA,US,unknown,180,4-5 tight circle red-white-green-blue BRIGHT lights over Morgan Hill,37.085,-121.6091667,2007,12,23,21,0,2008,3,4,37.085,-121.6091667,2007-12-23,2007,12.84,57.9,UFO,1936259,2020 Decennial Census
TUSTIN,ORANGE,CA,US,disk,300,Large flat object hovering with bright lights.,33.7458333,-117.8252778,2007,12,23,21,30,2008,3,4,33.7458333,-117.8252778,2007-12-23,2007,5.43,64.3,UFO,3186989,2020 Decennial Census
ALTA LOMA,SAN BERNARDINO,CA,US,circle,100,UFO below the Moon from California,34.1222222,-117.5972222,2007,12,24,1,49,2008,3,4,34.1222222,-117.5972222,2007-12-24,2007,3.65,67.4,UFO,2181654,2020 Decennial Census
VAN NUYS,LOS ANGELES,CA,US,formation,780,Turquoise lights floating in triangular formation.,34.1866667,-118.4480556,2007,12,24,1,47,2008,1,21,34.1866667,-118.4480556,2007-12-24,2007,6.18,62.3,UFO,10014009,2020 Decennial Census
BURBANK,LOS ANGELES,CA,US,unknown,180,3 incredibly bright amber lights seen over Burbank&#44CA on Christmas night 2007.,34.1808333,-118.3080556,2007,12,25,23,15,2008,3,4,34.1808333,-118.3080556,2007-12-25,2007,6.18,62.3,UFO,10014009,2020 Decennial Census
