City,County,Location.State,Location.Country,Data.Shape,Data.Encounter.duration,Data.Description.excerpt,Location.Coordinates.Latitude,Location.Coordinates.Longitude,Dates.Sighted.Year,Dates.Sighted.Month,Date.Sighted.Day,Dates.Sighted.Hour,Dates.Sighted.Minute,Dates.Documented.Year,Dates.Documented.Month,Dates.Documented.Day,lat,lon,sighted_date,year,Avg_Precip_Month_County,Avg_Temp_Month_County,sighting_type,population,data_source
SANTA ROSA,SONOMA,CA,US,light,300,bright light - high altitude crossing sky at high velocity&#44 (no collision beacons).,38.4405556,-122.7133333,2004,1,23,19,45,2004,2,12,38.4405556,-122.7133333,2004-01-23,2004,5.49,47.4,UFO,488863,2020 Decennial Census
SAN DIEGO,SAN DIEGO,CA,US,cigar,300,Bright green mass of light,32.7152778,-117.1563889,2004,1,24,19,40,2004,1,31,32.7152778,-117.1563889,2004-01-24,2004,0.48,51.4,UFO,3298634,2020 Decennial Census
VICTORVILLE,SAN BERNARDINO,CA,US,unknown,10,At approx. 9pm&#44as I sat outside&#44looking towards the southern horizon&#44 I saw a small bright object&#44seemingly traveling slowly towards th,34.5361111,-117.2902778,2004,1,24,21,0,2004,1,31,34.5361111,-117.2902778,2004-01-24,2004,0.12,48.2,UFO,2181654,2020 Decennial Census
DESERT HOT SPRINGS,RIVERSIDE,CA,US,rectangle,120,The roaring  repeating humming noise was eerie.  In 58 years&#44 I have never heard such a low heartbeat sound EVER,33.9611111,-116.5008333,2004,1,25,18,50,2004,1,31,33.9611111,-116.5008333,2004-01-25,2004,0.24,52.4,UFO,2418185,2020 Decennial Census
HAYWARD,ALAMEDA,CA,US,egg,180,I just read the other Hayward report on your site. Sound like the same thing I saw this weekend. It was along the Hayward hills&#44 near t,37.6688889,-122.0797222,2004,1,25,15,0,2004,1,31,37.6688889,-122.0797222,2004-01-25,2004,2.48,47.2,UFO,1682353,2020 Decennial Census
SAN FRANCISCO,SAN FRANCISCO,CA,US,changing,20,odd lower trajectory over crowded metropolitan area - morphed from single engine aircraft to irregular lighting pattern,37.775,-122.4183333,2004,1,26,11,3,2004,1,31,37.775,-122.4183333,2004-01-26,2004,3.55,49.7,UFO,873965,2020 Decennial Census
GAVIOTA,SANTA BARBARA,CA,US,other,600,2 giant crafts over Point Conception,34.4716667,-120.2138889,2004,1,28,0,0,2004,1,31,34.4716667,-120.2138889,2004-01-28,2004,0.63,49,UFO,448229,2020 Decennial Census
MODESTO,STANISLAUS,CA,US,chevron,15,My girlfriend&#44 her friend&#44 and myself were standing and talking out on my back porch looking briefly up at the stars&#44 when we all saw w,37.6391667,-120.9958333,2004,1,28,23,10,2005,2,8,37.6391667,-120.9958333,2004-01-28,2004,1.35,46.1,UFO,552878,2020 Decennial Census
ANTIOCH,CONTRA COSTA,CA,US,light,600,A bright round yellow/orange pulsing object that moved slowly and silently.,38.005,-121.8047222,2004,1,30,3,30,2004,1,31,38.005,-121.8047222,2004-01-30,2004,2.69,46.4,UFO,1165927,2020 Decennial Census
MILL VALLEY,MARIN,CA,US,circle,900,Very high altitude object hovered in the eastern sky at very high altitude. Moved rapidly south and again remained stationary for a few,37.9061111,-122.5438889,2004,1,31,16,45,2004,2,12,37.9061111,-122.5438889,2004-01-31,2004,4.62,48.5,UFO,262321,2020 Decennial Census
SAN RAMON,CONTRA COSTA,CA,US,other,60,Object seen moving in a west-bound direction&#44 stopped&#44 faded in and out as shifting angles&#44 vanished...,37.78,-121.9769444,2004,1,31,9,15,2004,2,12,37.78,-121.9769444,2004-01-31,2004,2.69,46.4,UFO,1165927,2020 Decennial Census
YORBA LINDA,ORANGE,CA,US,unknown,60,Large craft with 5 bright white lights on the front &quot;edge&quot; with trailing &quot;structure&quot; appeared flat.,33.8886111,-117.8122222,2004,1,31,19,30,2004,3,2,33.8886111,-117.8122222,2004-01-31,2004,0.48,56,UFO,3186989,2020 Decennial Census
HAWTHORNE,LOS ANGELES,CA,US,light,660,Two white round star objects moving very slowly over Los Angeles during daytime bright blue skies.skies,33.9163889,-118.3516667,2004,2,1,11,57,2004,2,12,33.9163889,-118.3516667,2004-02-01,2004,5.57,49.1,UFO,10014009,2020 Decennial Census
LOS ANGELES,LOS ANGELES,CA,US,triangle,120,2 strange craft over downtown and greater los angeles basin,34.0522222,-118.2427778,2004,2,1,5,6,2004,2,12,34.0522222,-118.2427778,2004-02-01,2004,5.57,49.1,UFO,10014009,2020 Decennial Census
SULTANA,TULARE,CA,US,diamond,2520,On the night of February 3&#44 2004 me and a friend where watching the night sky we noticed a strange craft in the western hemisphere it w,36.5455556,-119.3391667,2004,2,3,21,37,2004,2,12,36.5455556,-119.3391667,2004-02-03,2004,7.28,39.3,UFO,473117,2020 Decennial Census
